T,A
2.74E-02,1.044152
0.0274353,1.042375
2.75E-02,1.030146
2.75E-02,1.0058
2.75E-02,0.9688967
2.76E-02,0.9229327
2.76E-02,0.8761723
2.76E-02,0.8430526
2.76E-02,0.8265586
2.77E-02,0.8236096
2.77E-02,0.8263723
2.77E-02,0.8294147
0.027771,0.8312557
2.78E-02,0.8280078
2.78E-02,0.8212407
2.79E-02,0.8097585
2.79E-02,0.7958322
2.79E-02,0.7844119
0.0279541,0.7743011
2.80E-02,0.7644891
2.80E-02,0.7514198
2.80E-02,0.7319283
2.81E-02,0.7100447
2.81E-02,0.7003782
2.81E-02,0.7061768
2.82E-02,0.7165809
2.82E-02,0.7131609
2.82E-02,0.689316
2.83E-02,0.6494647
2.83E-02,0.6115329
2.83E-02,0.5854187
2.84E-02,0.5663605
2.84E-02,0.5465271
2.84E-02,0.5215718
2.84E-02,0.4930496
0.0284729,0.4662495
2.85E-02,0.4522144
2.85E-02,0.4545419
2.86E-02,0.4752943
2.86E-02,0.5115232
2.86E-02,0.5549018
2.87E-02,0.5946229
2.87E-02,0.6177263
2.87E-02,0.6229742
2.87E-02,0.625017
2.88E-02,0.6463087
2.88E-02,0.6937714
2.88E-02,0.7576153
2.89E-02,0.8310827
2.89E-02,0.913812
2.89E-02,1.005748
2.90E-02,1.096886
0.0289917,1.181811
2.90E-02,1.256314
2.91E-02,1.320359
2.91E-02,1.370986
2.91E-02,1.411569
2.91E-02,1.437529
0.0291748,1.450795
2.92E-02,1.464204
2.92E-02,1.48157
2.93E-02,1.497785
2.93E-02,1.500158
2.93E-02,1.482363
2.94E-02,1.443568
2.94E-02,1.395975
2.94E-02,1.358483
2.94E-02,1.332255
2.95E-02,1.320879
0.0295105,1.338123
2.95E-02,1.383713
2.96E-02,1.445351
2.96E-02,1.510176
2.96E-02,1.572276
2.97E-02,1.631839
0.0296936,1.689254
2.97E-02,1.742787
2.98E-02,1.783553
2.98E-02,1.80867
2.98E-02,1.82256
2.98E-02,1.829327
2.99E-02,1.829996
2.99E-02,1.826552
2.99E-02,1.816138
3.00E-02,1.797566
3.00E-02,1.774948
0.0300293,1.743778
3.01E-02,1.703332
3.01E-02,1.663262
3.01E-02,1.631913
3.02E-02,1.613079
3.02E-02,1.611256
0.0302124,1.626858
3.02E-02,1.647418
3.03E-02,1.666544
3.03E-02,1.694143
3.03E-02,1.730009
3.04E-02,1.759975
3.04E-02,1.781508
3.04E-02,1.791901
3.05E-02,1.784467
3.05E-02,1.756723
3.05E-02,1.726773
0.0305481,1.704236
3.06E-02,1.69312
3.06E-02,1.696723
3.06E-02,1.708122
3.07E-02,1.724292
3.07E-02,1.744868
0.0307312,1.778247
3.08E-02,1.8189
3.08E-02,1.852267
3.08E-02,1.870829
3.09E-02,1.870262
3.09E-02,1.858185
3.09E-02,1.84621
3.09E-02,1.82718
3.10E-02,1.798123
3.10E-02,1.759891
3.10E-02,1.719573
3.11E-02,1.681079
3.11E-02,1.647322
3.11E-02,1.621247
3.12E-02,1.60198
3.12E-02,1.595271
3.12E-02,1.602002
0.03125,1.610434
3.13E-02,1.614749
3.13E-02,1.613507
3.13E-02,1.608738
3.14E-02,1.593173
3.14E-02,1.56411
3.14E-02,1.525139
3.15E-02,1.479568
3.15E-02,1.429016
3.15E-02,1.378503
3.16E-02,1.337107
3.16E-02,1.314523
3.16E-02,1.312762
3.16E-02,1.327542
3.17E-02,1.347527
3.17E-02,1.368628
3.17E-02,1.391775
0.0317688,1.423735
3.18E-02,1.465692
3.18E-02,1.504708
3.19E-02,1.524832
3.19E-02,1.52555
3.19E-02,1.51628
0.0319519,1.50877
3.20E-02,1.515068
3.20E-02,1.546551
3.20E-02,1.592579
3.21E-02,1.636296
3.21E-02,1.667989
3.21E-02,1.68055
3.22E-02,1.677644
